Team Num,Player 1,Rank 1,Player 2,Rank 2,Comb Rank,Team Seed,Div Seed,Div,Team ID,Team Name
1,Romeo,1,Kong,7,8,1,1,A,1A,Romeo / Kong
4,Mary,3,Kramer,21,24,4,2,A,2A,Mary / Kramer
2,Cooper,8,Mentle,17,25,6,3,A,3A,Cooper / Mentle
3,Virgilio,9,Nate,19,28,7,4,A,4A,Virgilio / Nate
5,Pound,10,Watkins,32,42,9,5,A,5A,Pound / Watkins
6,Struble,20,Chess,24,44,12,6,A,6A,Struble / Chess
7,O’Leary,23,Lineman,25,48,14,7,A,7A,O’Leary / Lineman
9,Chesty,16,Tex,33,49,15,8,A,8A,Chesty / Tex
8,Shine,4,Rooze,12,16,2,1,B,1B,Shine / Rooze
12,Harris,2,Bocci,22,24,3,2,B,2B,Harris / Bocci
10,Obst,6,Wee,18,24,5,3,B,3B,Obst / Wee
14,Spike,11,Cureton,26,37,8,4,B,4B,Spike / Cureton
11,Abs,15,Crash,27,42,10,5,B,5B,Abs / Crash
15,Schmanske,13,Ponzio,30,43,11,6,B,6B,Schmanske / Ponzio
13,Chisolm,14,DiPesa,31,45,13,7,B,7B,Chisolm / DiPesa
16,Della Grotte,28,House / Latt,29/5,100,16,8,B,8B,Della Grotte / House / Latt
